id,lat,lon,rr,source
1791,38.3868,-81.8198,"NS, CSX, AMTRAK",derived
1793,37.909,-81.677,CSX,derived
1794,38.28025,-121.9772,UP/AMTK,derived
1797,32.8314,-96.8828,"TRE, DGNO, BNSF",derived
1799,31.75399,-106.38741,"BNSF,UP,AMTK",derived
1800,39.7728,-104.9867,BNSF UP DRIR AMTRAK,derived
1801,38.984241,-78.168528,NS,derived
1802,44.206,-88.443,CN,derived
1804,40.34507,-74.113685,SIRR,derived
1805,33.56,-86.788,CSX ABCX KCS,derived
1806,33.557526,-86.686287,NS/Amtrak,derived
1808,35.904,-84.867,NS,derived
1809,40.62614,-91.32574,BNSF,derived
1811,41.567905,-81.565104,CSX AMTK,derived
1816,53.521,-113.413,CP,derived
1817,39.0,-94.0,KCS,derived
1818,25.96753,-83.925157,,derived
1819,34.17547,-82.188526,CSX,derived
1820,44.9203,-123.0275,UP,derived
1821,44.926,-123.028,UP,derived
1822,44.669,-123.059,UP,derived
1824,26.087,-80.141,FEC,derived
1830,39.270778,-76.608734,"CSX, MARC, CLRT",derived
1833,38.544,-121.737,UP/CFNR/AMTK,derived
1834,35.000521,-85.379122,"CSXT, NS",derived
1835,39.7455,-75.5183,"NS, AMTRAK",derived
1840,34.175448,-84.802977,,derived
1842,41.21,-111.99,UP UTAH UCRY,derived
1843,42.86,-112.45,UP,derived
1844,36.648,-87.163,CSX/RJCM,derived
1845,32.783,-96.663,UP,derived
1846,32.7768,-96.6577,"UP, DGNO, KCS, AMTK",derived
1847,32.74,-97.32,FWWR UP AMTK TRE,derived
1850,39.957496,-75.18228,AMTK SEPTA NJT CSXT NS CRSJ,derived
1851,36.8283,-76.32555,"CSX, NPB",derived
1853,46.02,-122.853,BNSF,derived
1854,49.236879,-122.709689,CP WCE,derived
1856,46.638527,-92.109147,"BNSF, CN, UP, CP",derived
1857,37.841167,-121.269459,UP,derived
1858,33.56,-86.788,AMTK,derived
1859,37.814,-81.904,CSX,derived
1861,36.8,-76.265,"NS, NPBL, CA, BB",derived
1863,41.6049389705,-87.4725938554,IHB/NS/CSX,derived
1865,36.0458,-86.4503,CSX,derived
1866,45.487,-122.641,UP,derived
1867,38.56,-90.838,UP CMR,derived
1873,42.350597,-71.056475,AMTRAK MBTA,derived
1874,41.132,-104.808,UP,derived
1876,47.6889,-117.191,UP BNSF AMTK,derived
1877,45.364279,-122.424008,BNSF/UP/PT,derived
1879,29.782,-95.278,UP,derived
1880,29.70367,-95.328431,BNSF UP,derived
1881,41.68,-83.465,CSX,derived
1884,39.9494,-75.0923,CSAO,derived
1886,39.8341,-75.247,CSAO,derived
1887,39.855229,-88.919362,"NS, CN, CSX, DT",derived
1888,32.72,-97.38,UP BNSF,derived
1889,39.146256,-94.611368,UP,derived
1890,32.469,-91.182,KCS CN UP,derived
1892,38.311,-88.892,UP,derived
1893,45.7842,-108.4988,"MRL, BNSF",derived
1894,45.6773,-108.7337,"MRL, BNSF",derived
1895,45.7973,-119.2707,UP,derived
1897,40.615848,-80.573624,NS,derived
1898,40.833666,-81.778312,WE,derived
1900,39.40206,-80.015748,CSX,derived
1902,30.066,-90.575,KCS CN,derived
1904,32.827,-97.334,BNSF,derived
1905,33.453465,-81.949339,CSX NS,derived
1907,35.27235,-80.892741,CSX,derived
1908,35.2241,-76.4718,"NS, CSX",derived
1909,35.09325,-80.688002,CSX,derived
1910,35.2744,-80.8796,CSX,derived
1913,40.667,-80.245,NS,derived
1914,34.712163,-87.612964,NS,derived
1915,39.8084,-104.9382,BNSF UP DRIR,derived
1916,39.8623,-104.8753,BNSF,derived
1917,39.8707,-104.8903,UP,derived
1918,32.74,-97.05,UP Amtrak,derived
1920,34.461791,-92.135281,"UP, BNSF",derived
1922,39.625706,-78.737971,CSX,derived
1923,35.108332,-90.087981,"CN, NS, CSX, UP, BNSF",derived
1924,41.869025,-80.791923,CSX,derived
1927,33.969415,-83.975266,CSX,derived
1929,33.915573,-84.263259,NS,derived
1934,33.919597,-84.238364,NS,derived
1939,38.23827,-85.776417,"PAL, NS",derived
1941,38.222769,-85.834612,"NS, PAL, CSX",derived
