id,name,source
1482,Lordstown CSX,scraped
1484,Roseville Davis Yard,scraped
1485,Jessup,scraped
1486,Bostwick,scraped
1489,Bowling Green CSX,scraped
1490,New Boston,scraped
1491,St. Paul Intermodal Facility,scraped
1492,Las Vegas Valley Yard,scraped
1495,Wallula UP,scraped
1496,Thunder Bay CPKC Yard,scraped
1498,St. Johns,scraped
1499,North Valley,scraped
1500,Elkhart Yard,scraped
1501,Hereford,scraped
1502,Tacoma Fife Yard,scraped
1503,Tacoma BNSF Yard,scraped
1504,Cambridge Hagey Yard,scraped
1505,Logistics Park Chicago,scraped
1509,Pekin IMRR,scraped
1510,Edmonton Walker Yard,scraped
1511,Vancouver Fraser Surrey IMPEX,scraped
1512,Kamloops Junction,scraped
1513,Edmonton McBain/Bissell Yard,scraped
1515,Chicago Commercial Ave Yard,scraped
1516,Toronto Yard CPKC,scraped
1518,Clavet CPKC,scraped
1520,Chicago CSS Burnham Yard,scraped
1522,Butler Steel Works CN,scraped
1523,Newport News,scraped
1525,Crewe,scraped
1526,Smyrna,scraped
1527,Richmond BNSF,scraped
1528,East Thunder Mine,scraped
1530,North Antelope Mine,scraped
1531,Antelope Mine,scraped
1532,Lafayette South Yard,scraped
1533,Calgary Shepard IM,scraped
1534,Lafayette CSX Yard,scraped
1535,Lafayette East Yard,scraped
1538,Seattle Harbor Island,scraped
1539,Auburn,scraped
1540,St. Paul Pig's Eye Yard,scraped
1543,Buffalo Frontier Yard,scraped
1544,Buffalo Hamburg St. Yard,scraped
1546,Fontana Kaiser BNSF Yard,scraped
1548,Eugene UP,scraped
1549,Niagara Falls,scraped
1552,Mexico NS,scraped
1554,Tacoma Port Yard,scraped
1556,Alliance,scraped
1558,Newark Airport,scraped
1560,New Haven,scraped
1562,St. Louis North Market,scraped
1563,Westlake UP,scraped
1564,Enola Yard,scraped
1565,Phoenix Mobest Yard,scraped
1566,Oakland,scraped
1567,Benson,scraped
1568,Fergus Falls,scraped
1569,Litchfield,scraped
1570,Willmar,scraped
1571,Aldershot,scraped
1573,Pasco,scraped
1578,Dupo,scraped
1579,Selma CSX,scraped
1580,West Seattle BNSF,scraped
1582,Minot Gavin Yard,scraped
1584,Mandan,scraped
1585,Fargo,scraped
1586,Dilworth,scraped
1587,Vancouver Thornton Yard,scraped
1588,East Los Angeles Yard,scraped
1590,Greybull,scraped
1592,Jersey City Little Ferry Yard,scraped
1593,Minneapolis Northtown Yard,scraped
1594,Butler Steel Dynamics NS,scraped
1595,Chicago Proviso Yard,scraped
1596,Melville,scraped
1598,Regina CPKC Yard,scraped
1599,Swift Current,scraped
1600,Calgary Alyth Yard,scraped
1602,Moorhead BNSF,scraped
1603,Casselton,scraped
1604,West Fargo,scraped
1605,Breckenridge,scraped
1606,Chicago Bensenville Yard,scraped
1608,Eagle Pass,scraped
1610,Winnipeg Symington Yard,scraped
1611,Avon,scraped
1612,Halifax Port,scraped
1613,Vancouver Pacific Central,scraped
1614,Chicago Ashland Ave. Yard,scraped
1615,East Deerfield,scraped
1616,Vancouver Coquitlam Yard,scraped
1617,Port Arthur UP,scraped
1618,Kamloops Okanagan Connector,scraped
1619,Kamloops Benledi,scraped
1620,Kansas City Argentine Yard,scraped
1622,Vancouver South Shore Terminals CPKC,scraped
1625,Syracuse DeWitt Yard,scraped
1626,W.Syracuse,scraped
1628,South Seattle Yard,scraped
